打率.209,試合103,打席290,打数258,得点22,安打54,内安6,内安率11.1,２Ｂ11,３Ｂ1,本塁2,HR勝敗2-0-0,塁打73,打点19,三振66
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
18,0,0,12,2,5,3,62.5,3,0,2,.250,.259,.283,.542
