防御率3.12,試合6,先発6,救援0,連投(試)0,連投(日)0,勝利1,敗戦2,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.333,26.0,113,448,17.2,21,0,13,14,0,2,1,0,10,9,1.35,33.3%
