球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
シンカー,99,40.9%,132.2,18,26,14,17,58.6%,32.1%,0.121,33,4,1,10,0,0
ストレート,74,30.6%,144.3,5,15,10,33,40.5%,19.2%,0.333,15,5,2,4,1,0
スライダー,53,21.9%,131.6,10,9,9,15,52.8%,34.5%,0.182,11,2,0,2,1,1
カーブ,13,5.4%,116.9,0,1,1,8,15.4%,0.0%,0.0,3,0,0,0,0,0
フォーク,3,1.2%,132.5,1,0,0,2,33.3%,100.0%,0.0,1,0,0,1,0,0
