HQS率-,SQS率-,被打率.175,被BABIP.186,被出塁率.212,被長打率.349,K/BB8.50,K/98.20,BB/90.96,HR/91.45,GO/AO1.69,援護率-,IPR3.11,NHB%38.5%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.49,81.6%,0.94,0.11,0.30,56,6.0,0,0,18.2,6,5,10,
