種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,0.0,2,0,2,0,0,0,0,0,0,0,0,2.0,1,0,3,0,0,0,0,0.5,0.143,-,99.0
Nighter,3.24,11,0,11,0,1,0,0,0,0,0,1,16.2,10,3,14,2,1,6,6,0.72,0.179,-,2.78
