防御率2.11,試合62,先発0,救援62,連投(試)2,連投(日)2,勝利2,敗戦2,HLD21,Ｓ12,ＨＰ23,ＳＰ14,救勝2,救敗2,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.500,59.2,238,905,15.2,45,6,66,20,2,0,1,0,16,14,1.09,-
