球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
スライダー,227,45.5%,132.3,29,39,39,85,47.1%,28.2%,.149,47,7,0,14,4,1
ストレート,213,42.7%,143.2,11,43,45,75,46.5%,11.6%,.234,47,11,0,10,3,1
シュート,25,5.0%,143.3,2,3,6,12,44.0%,20.0%,.500,2,1,0,0,1,0
フォーク,13,2.6%,135.3,1,1,3,6,38.5%,16.7%,.000,2,0,0,0,1,0
チェンジアップ,13,2.6%,127.7,1,0,2,3,23.1%,10.0%,.250,8,2,0,1,0,0
カットボール,5,1.0%,136.0,0,0,2,3,40.0%,0.0%,-,0,0,0,0,0,0
カーブ,3,0.6%,117.3,1,2,0,0,100.0%,100.0%,-,0,0,0,0,0,0
