HQS率-,SQS率-,被打率.198,被BABIP.256,被出塁率.277,被長打率.226,K/BB2.50,K/97.67,BB/93.07,HR/90.00,GO/AO1.19,援護率-,IPR2.67,NHB%52.8%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.19,66.7%,-0.35,-0.04,0.69,208,3.2,0,0,29.1,11,19,31,
