NOI0.0,GPA.000,RC-0.06,RC27-0.79,XR-0.05,XR27-0.68,RCAA-0.25,XR+-0.24,RCWIN-0.03,XRWIN-0.03,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
-,0.000,-,-,0.000,-,0.000,0.000,-,0.0%,
