HQS率53.8%,SQS率65.4%,被打率.255,被BABIP.297,被出塁率.303,被長打率.341,K/BB2.95,K/96.22,BB/92.11,HR/90.51,GO/AO1.46,援護率3.91,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.88,73.5%,-1.96,-0.23,0.10,665,0.0,184,80,0.0,0,0,0,
