条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
無し,0.24,401,375,90,15,1,6,75,23,3,0,0,0.289
1塁,0.268,128,112,30,2,0,2,21,8,1,7,0,0.322
2塁,0.283,65,53,15,3,0,1,9,5,2,5,0,0.367
3塁,0.227,23,22,5,1,0,0,4,0,0,0,1,0.217
1・2塁,0.224,58,49,11,2,0,1,8,4,0,5,0,0.283
1・3塁,0.5,17,16,8,0,0,0,0,0,0,0,1,0.471
2・3塁,0.263,21,19,5,1,0,0,3,0,0,1,1,0.25
満塁,0.3,11,10,3,1,0,0,1,1,0,0,0,0.364
得点圏,0.278,195,169,47,8,0,2,25,10,2,11,3,0.321
