球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
チェンジアップ,595,22.8%,132.7,102,73,81,217,43.0%,33.4%,0.215,158,34,1,38,5,0
ツーシーム,517,19.8%,145.9,18,100,93,180,40.8%,7.6%,0.266,128,34,3,6,7,3
フォーク,488,18.7%,134.0,135,32,67,186,48.0%,50.0%,0.194,124,24,3,57,7,0
ストレート,461,17.6%,147.3,17,105,76,142,43.0%,7.9%,0.298,121,36,0,12,9,1
カットボール,444,17.0%,142.7,28,80,94,131,45.5%,12.0%,0.316,117,37,3,8,12,1
カーブ,59,2.3%,118.4,1,25,6,23,54.2%,9.1%,0.25,4,1,0,0,0,0
スライダー,50,1.9%,132.5,1,9,13,23,46.0%,5.6%,0.25,4,1,0,0,0,1
