球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,114,36.2%,145.0,11,25,21,35,50.0%,20.4%,.269,26,7,2,4,2,1
スライダー,43,13.7%,128.5,6,2,11,17,44.2%,25.0%,.125,8,1,0,1,2,0
カットボール,35,11.1%,137.6,2,9,4,11,42.9%,13.3%,.200,10,2,0,1,0,0
チェンジアップ,29,9.2%,126.1,1,3,6,12,34.5%,7.1%,.000,7,0,0,0,0,0
フォーク,24,7.6%,132.0,4,1,4,9,37.5%,28.6%,.571,7,4,0,1,0,1
シュート,23,7.3%,146.0,1,4,3,4,34.8%,6.7%,.364,11,4,0,0,0,0
ツーシーム,18,5.7%,141.9,0,2,2,8,22.2%,0.0%,.167,6,1,0,0,1,0
カーブ,15,4.8%,117.5,0,4,0,7,26.7%,0.0%,.400,5,2,0,1,0,0
ナックルカーブ,5,1.6%,130.0,1,0,0,3,20.0%,50.0%,.000,1,0,0,0,0,0
スプリット,4,1.3%,139.0,0,0,2,1,50.0%,0.0%,-,0,0,0,0,0,0
スラーブ,3,1.0%,126.3,0,2,0,1,66.7%,-%,-,0,0,0,0,0,0
スクリュー,1,0.3%,132.0,0,0,0,1,0.0%,-%,-,0,0,0,0,1,0
高速スライダー,1,0.3%,138.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
