NOI0.0,GPA.000,RC-0.72,RC27-2.76,XR-0.65,XR27-2.49,RCAA-1.38,XR+-1.31,RCWIN-0.16,XRWIN-0.15,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,3.50,0.000,-,0.000,0.000,-,28.6%,
