種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,2.45,3,2,1,0,0,0,0,0,0,0,0,11.0,5,1,7,7,1,3,3,1.09,0.135,4.09,-
Nighter,7.94,5,1,4,0,1,0,0,0,0,0,0,11.1,18,3,6,4,0,10,10,1.94,0.375,0.0,0.75
