球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,217,53.6%,148.1,27,48,39,73,52.5%,28.1%,.186,43,8,1,14,2,0
フォーク,42,10.4%,135.8,6,6,5,18,40.5%,33.3%,.182,11,2,1,4,2,0
スライダー,39,9.6%,130.9,7,7,2,15,41.0%,41.2%,.333,9,3,1,1,0,1
チェンジアップ,27,6.7%,133.8,4,6,0,14,37.0%,57.1%,.200,5,1,0,2,0,0
カットボール,25,6.2%,136.8,6,6,2,7,56.0%,50.0%,.000,6,0,0,2,1,0
ツーシーム,24,5.9%,141.9,1,3,2,10,25.0%,9.1%,.222,9,2,0,1,0,0
カーブ,14,3.5%,121.2,1,1,1,9,21.4%,25.0%,.000,2,0,0,0,0,0
ナックルカーブ,13,3.2%,124.7,2,2,3,5,53.8%,33.3%,.000,3,0,0,2,0,0
スプリット,3,0.7%,138.5,1,0,0,0,33.3%,33.3%,.333,3,1,0,1,0,0
縦スライダー,1,0.2%,132.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
