HQS率29.2%,SQS率37.5%,被打率.261,被BABIP.279,被出塁率.328,被長打率.421,K/BB1.70,K/95.71,BB/93.35,HR/91.24,GO/AO0.97,援護率3.29,IPR-,NHB%-
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.44,77.5%,-13.11,-1.52,-11.03,515,0.0,156,57,0.0,0,0,0,
