アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,155,37.6%,安打,144,69.6%
フライ,159,38.6%,四死球,57,27.5%
空三振,73,17.7%,失策出塁,5,2.4%
見三振,19,4.6%,野選,1,0.5%
犠打,6,1.5%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
