HQS率-,SQS率-,被打率.300,被BABIP.333,被出塁率.391,被長打率.500,K/BB1.00,K/93.86,BB/93.86,HR/90.00,GO/AO1.75,援護率-,IPR2.33,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.84,77.8%,-0.31,-0.04,-0.46,14,3.0,0,0,4.2,2,0,3,
