NOI475.4,GPA.251,RC15.25,RC274.79,XR15.71,XR274.93,RCAA2.55,XR+2.86,RCWIN0.29,XRWIN0.33,BABIP.278
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.71,0.133,5.86,4.16,0.152,35.00,0.362,0.726,1.50,43.4%,
