NOI0.0,GPA.000,RC-0.72,RC27-1.78,XR-0.65,XR27-1.59,RCAA-1.77,XR+-1.70,RCWIN-0.21,XRWIN-0.20,BABIP.000
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.00,0.000,-,1.83,0.000,-,0.000,0.000,-,54.5%,
