NOI430.4,GPA.233,RC46.79,RC273.82,XR46.78,XR273.82,RCAA2.30,XR+1.76,RCWIN0.27,XRWIN0.20,BABIP.297
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.25,0.040,21.52,5.32,0.136,35.42,0.184,0.584,3.43,26.1%,
