連続項目,フラグ (現状値 / 最高値)
得点,1試合 / 2試合
安打,8試合 / 11試合
無安打,0試合 / 4試合
打点,1試合 / 3試合
本塁打,1試合 / 2試合
出塁,12試合 / 12試合
