左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
43.8% (147),43.8% (147),43.8% (147),23.2% (78),23.2% (78),23.2% (78),33.0% (111),33.0% (111),33.0% (111)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
36.7% (36),91.7% (11),44.2% (100),35.7% (35),0.0% (0),19.0% (43),27.6% (27),8.3% (1),36.7% (83)
