打率.259,試合109,打席452,打数425,得点42,安打110,内安8,内安率7.3,２Ｂ16,３Ｂ3,本塁12,HR勝敗4-7-0,塁打168,打点43,三振85
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
21,2,4,0,2,2,3,40.0,3,0,11,.255,.299,.395,.694
