条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,0,2,3,0,0,0,2,0,0,0,0,0,7
敗戦,14,3,5,3,4,3,1,0,0,0,0,0,33
勝敗無,2,2,2,4,3,3,0,1,0,0,0,0,17
