HQS率44.0%,SQS率56.0%,被打率.234,被BABIP.285,被出塁率.296,被長打率.333,K/BB2.76,K/97.23,BB/92.62,HR/90.58,GO/AO1.59,援護率2.88,IPR99.00,NHB%0.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.92,77.5%,5.32,0.63,2.69,595,0.0,178,57,6.2,0,0,1,
