防御率2.83,試合26,先発25,救援1,連投(試)0,連投(日)0,勝利8,敗戦10,HLD0,Ｓ0,ＨＰ1,ＳＰ1,救勝1,救敗0,完投3,完封2,無四球1
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.444,171.2,690,2756,16.1,145,11,138,50,2,5,9,0,57,54,1.14,72.0%
