条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.217,305,272,59,7,0,3,76,25,3,5,0
対左打者,0.248,385,347,86,19,1,8,62,25,2,10,1
