球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,35,33.3%,147.1,5,6,7,11,51.4%,27.8%,0.143,7,1,0,1,1,0
スライダー,27,25.7%,129.6,2,6,3,6,40.7%,13.3%,0.3,10,3,0,0,0,0
チェンジアップ,10,9.5%,129.8,1,2,2,4,50.0%,25.0%,0.0,1,0,0,0,0,0
フォーク,9,8.6%,136.0,3,0,1,0,44.4%,33.3%,0.0,6,0,0,1,0,0
カーブ,8,7.6%,118.0,1,3,1,2,62.5%,33.3%,0.0,2,0,0,1,0,0
カットボール,8,7.6%,138.5,1,2,1,3,50.0%,33.3%,0.0,1,0,0,0,0,0
ツーシーム,5,4.8%,145.8,0,0,2,1,40.0%,0.0%,0.0,2,0,0,0,0,0
スプリット,3,2.9%,143.5,1,0,1,0,66.7%,33.3%,1.0,1,1,0,0,0,0
