連続項目,フラグ (現状値 / 最高値)
安打,1打席 / 1打席
本塁打,0打席 / 0打席
無安打,0打席 / 11打席
三振,0打席 / 1打席
無三振,8打席 / 17打席
出塁,1打席 / 1打席
