NOI282.4,GPA.154,RC1.25,RC271.35,XR1.23,XR271.32,RCAA-1.80,XR+-1.86,RCWIN-0.21,XRWIN-0.22,BABIP.185
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.33,0.027,31.00,10.33,0.100,-,0.133,0.360,-,12.9%,
