左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
55.6% (15),55.6% (15),55.6% (15),29.6% (8),29.6% (8),29.6% (8),14.8% (4),14.8% (4),14.8% (4)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
80.0% (4),- (0),50.0% (11),0.0% (0),- (0),36.4% (8),20.0% (1),- (0),13.6% (3)
