球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,被打率,被打数,被安,被本,奪三振,与四球,与死球
ストレート,67,67.0%,148.4,4,12,15,24,46.3%,12.9%,0.308,13,4,0,1,4,1
スライダー,26,26.0%,130.2,2,3,5,11,38.5%,16.7%,0.167,6,1,0,1,0,0
フォーク,4,4.0%,139.3,1,0,1,1,50.0%,33.3%,0.5,2,1,0,1,0,0
カットボール,3,3.0%,138.3,0,0,0,2,0.0%,0.0%,0.0,1,0,0,0,0,1
