NOI71.0,GPA.035,RC-2.09,RC27-1.45,XR-1.78,XR27-1.23,RCAA-5.99,XR+-5.70,RCWIN-0.71,XRWIN-0.67,BABIP.077
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.05,0.029,41.00,2.16,0.000,-,0.031,0.065,-,48.8%,
