チーム,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
巨人,3.86,8,0,8,1,1,0,0,1,1,1,1,7.0,8,0,4,0,0,3,3,1.14,0.296,-,2.33
阪神,6.35,6,0,6,0,0,0,0,0,0,0,0,5.2,8,0,6,2,1,4,4,1.76,0.32,-,1.42
ＤｅＮＡ,1.5,4,0,4,0,0,0,0,0,0,0,0,6.0,8,0,7,0,0,1,1,1.33,0.32,-,6.0
ヤクルト,4.15,10,0,10,0,0,1,0,1,0,0,0,8.2,10,1,5,1,0,4,4,1.27,0.303,-,2.17
中日,0.0,7,0,7,0,0,0,0,0,0,0,0,6.2,4,0,10,1,0,0,0,0.75,0.174,-,99.0
