アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,31,26.3%,安打,44,86.3%
フライ,44,37.3%,四死球,7,13.7%
空三振,27,22.9%,失策出塁,0,0.0%
見三振,10,8.5%,野選,0,0.0%
犠打,6,5.1%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
