条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.301,93,83,25,7,0,0,20,4,1,5,0
対左打者,0.26,76,73,19,2,1,1,17,2,0,1,0
