球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,364,54.7%,148.5,15,74,70,130,43.7%,9.4%,.190,84,16,0,12,9,1
スライダー,73,11.0%,131.8,5,8,15,30,38.4%,14.3%,.350,20,7,0,5,3,0
フォーク,52,7.8%,137.7,7,7,11,19,48.1%,26.9%,.000,12,0,0,4,1,2
カットボール,48,7.2%,140.1,0,8,12,14,41.7%,0.0%,.143,14,2,0,0,1,0
チェンジアップ,43,6.5%,130.9,2,4,6,21,27.9%,11.1%,.200,10,2,0,1,1,0
ツーシーム,31,4.7%,145.0,1,7,6,12,45.2%,8.3%,.167,6,1,0,1,0,1
カーブ,27,4.1%,119.3,0,5,4,10,33.3%,0.0%,.250,8,2,0,0,2,0
スプリット,8,1.2%,138.0,1,1,2,3,50.0%,25.0%,.000,2,0,0,1,0,0
シンカー,6,0.9%,132.2,0,2,0,2,33.3%,0.0%,.000,2,0,0,0,0,0
縦スライダー,4,0.6%,130.0,0,1,1,1,50.0%,0.0%,.000,1,0,0,0,0,0
シュート,4,0.6%,138.0,0,1,1,1,50.0%,0.0%,.000,1,0,0,0,0,0
ナックルカーブ,3,0.5%,130.7,0,0,1,2,33.3%,0.0%,-,0,0,0,0,0,0
高速スライダー,2,0.3%,140.0,0,0,1,1,50.0%,0.0%,-,0,0,0,0,0,0
