打率.188,試合66,打席185,打数160,得点13,安打30,内安4,内安率13.3,２Ｂ4,３Ｂ1,本塁0,HR勝敗0,塁打36,打点7,三振24
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
17,0,4,4,0,3,4,42.9,2,0,5,.175,.282,.225,.507
