HQS率0.0%,SQS率0.0%,被打率.322,被BABIP.386,被出塁率.373,被長打率.508,K/BB2.50,K/99.64,BB/93.86,HR/91.29,GO/AO0.53,援護率3.00,IPR1.56,NHB%20.0%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
3.34,67.6%,-4.92,-0.58,-4.38,52,2.2,9,3,4.2,3,1,2,
