球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,303,46.2%,147.0,13,71,65,96,49.2%,9.6%,.261,69,18,1,12,7,0
スライダー,97,14.8%,128.1,10,18,19,38,48.5%,24.4%,.400,15,6,0,3,0,0
カットボール,63,9.6%,136.5,4,13,12,28,46.0%,18.2%,.375,8,3,0,2,1,0
チェンジアップ,50,7.6%,128.9,4,10,7,20,42.0%,20.0%,.154,13,2,0,4,1,1
フォーク,40,6.1%,135.3,5,5,7,14,42.5%,23.8%,.083,12,1,0,3,0,0
ツーシーム,40,6.1%,144.3,4,11,4,12,47.5%,23.5%,.091,11,1,0,2,0,0
カーブ,20,3.0%,120.4,1,8,0,8,45.0%,25.0%,.667,3,2,0,0,0,0
スプリット,18,2.7%,140.3,2,3,4,3,50.0%,16.7%,.286,7,2,0,1,0,0
シュート,10,1.5%,143.3,0,3,1,4,40.0%,0.0%,1.000,2,2,0,0,0,0
ナックルカーブ,6,0.9%,129.5,0,0,1,3,16.7%,0.0%,.000,2,0,0,0,0,1
シンカー,6,0.9%,133.5,0,2,1,1,50.0%,0.0%,.500,2,1,0,0,0,0
スクリュー,2,0.3%,133.5,0,0,1,1,50.0%,0.0%,-,0,0,0,0,0,0
パーム,1,0.2%,124.0,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
