種別,防御率,試合,先発,救援,勝利,敗戦,HLD,Ｓ,ＨＰ,ＳＰ,救勝,救敗,回数,被安,被本,三振,四球,死球,失点,自責,WHIP,被打率,援護率,IPR
DayGame,8.59,8,0,8,0,2,3,2,3,2,0,2,7.1,14,0,8,3,1,7,7,2.32,0.412,-,1.05
Nighter,3.48,21,0,21,1,1,11,3,12,4,1,1,20.2,18,1,19,5,1,8,8,1.11,0.25,-,2.58
