HQS率-,SQS率-,被打率.302,被BABIP.378,被出塁率.350,被長打率.387,K/BB3.38,K/98.68,BB/92.57,HR/90.32,GO/AO0.65,援護率-,IPR1.87,NHB%27.6%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.34,66.5%,-4.59,-0.53,-5.54,284,6.0,0,0,28.0,15,8,22,
