HQS率-,SQS率-,被打率.297,被BABIP.325,被出塁率.402,被長打率.418,K/BB0.92,K/94.44,BB/94.81,HR/90.74,GO/AO1.55,援護率-,IPR2.21,NHB%11.1%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
4.70,79.6%,-2.17,-0.26,-1.96,73,7.0,0,0,24.1,11,2,12,
