打順,打率,試合,打席,打数,得点,安打,２Ｂ,３Ｂ,本塁,塁打,打点,三振,四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,失策,出塁率,長打率,OPS
Day,0.182,16,36,33,4,6,1,0,0,7,3,7,3,0,0,0,0,1,1,0,0.25,0.212,0.462
Nighter,0.269,37,125,108,10,29,3,1,0,34,7,27,7,0,0,10,0,0,3,1,0.313,0.315,0.628
