NOI320.2,GPA.167,RC4.39,RC271.29,XR4.56,XR271.34,RCAA-6.63,XR+-6.53,RCWIN-0.78,XRWIN-0.77,BABIP.267
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.14,0.051,29.00,4.00,0.038,-,0.077,0.356,-,28.4%,
