条件,打率,打席,打数,安打,2塁,3塁,本塁,打点,三振,四球,死球,犠打,犠飛,出塁率
無し,0.182,71,66,12,2,0,0,0,17,3,2,0,0,0.239
1塁,0.217,28,23,5,1,0,0,0,7,0,1,4,0,0.25
2塁,0.333,3,3,1,0,0,0,0,1,0,0,0,0,0.333
3塁,1.0,1,1,1,0,0,0,1,0,0,0,0,0,1.0
1・2塁,0.2,7,5,1,1,0,0,1,0,1,0,1,0,0.333
1・3塁,0.0,2,2,0,0,0,0,0,2,0,0,0,0,0.0
2・3塁,0.0,2,2,0,0,0,0,1,1,0,0,0,0,0.0
満塁,0.0,2,2,0,0,0,0,0,1,0,0,0,0,0.0
得点圏,0.2,17,15,3,1,0,0,3,5,1,0,1,0,0.25
