左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
58.1% (43),58.1% (43),58.1% (43),17.6% (13),17.6% (13),17.6% (13),24.3% (18),24.3% (18),24.3% (18)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
45.0% (9),- (0),63.0% (34),35.0% (7),- (0),11.1% (6),20.0% (4),- (0),25.9% (14)
