条件,1回,2回,3回,4回,5回,6回,7回,8回,9回,10回,11回,12回,合計
勝利,2,1,0,0,0,1,0,1,0,0,0,0,5
敗戦,5,10,2,4,2,0,1,0,0,0,0,0,24
勝敗無,2,10,0,3,0,1,1,0,0,0,0,0,17
