防御率3.20,試合22,先発22,救援0,連投(試)0,連投(日)0,勝利6,敗戦7,HLD0,Ｓ0,ＨＰ0,ＳＰ0,救勝0,救敗0,完投0,完封0,無四球0
勝率,回数,被打者,投球数,P/IP,被安,被本,三振,四球,故意四,死球,暴投,ボーク,失点,自責,WHIP,QS率
.462,109.2,483,1837,16.8,121,9,58,43,0,6,0,0,46,39,1.50,50.0%
