NOI452.3,GPA.238,RC22.55,RC273.83,XR21.95,XR273.73,RCAA0.49,XR+-0.36,RCWIN0.06,XRWIN-0.04,BABIP.318
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.54,0.073,11.20,6.05,0.084,95.00,0.189,0.596,1.33,26.3%,
