左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
36.6% (56),36.6% (56),36.6% (56),18.3% (28),18.3% (28),18.3% (28),45.1% (69),45.1% (69),45.1% (69)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
35.4% (17),0.0% (0),37.9% (39),37.5% (18),0.0% (0),9.7% (10),27.1% (13),100.0% (2),52.4% (54)
