打率.234,試合115,打席415,打数359,得点29,安打84,内安9,内安率10.7,２Ｂ13,３Ｂ1,本塁5,HR勝敗1-4-0,塁打114,打点34,三振72
四球,敬遠,死球,犠打,犠飛,盗塁,盗塁死,成功率,失策,捕逸,併殺打,得点圏,出塁率,長打率,OPS
39,3,4,5,8,6,2,75.0,10,0,11,.222,.310,.318,.627
