左方向,左方向.1,左方向.2,中方向,中方向.1,中方向.2,右方向,右方向.1,右方向.2
45.5% (130),45.5% (130),45.5% (130),25.5% (73),25.5% (73),25.5% (73),29.0% (83),29.0% (83),29.0% (83)
安打,本塁,凡打,安打,本塁,凡打,安打,本塁,凡打
50.6% (40),100.0% (5),42.1% (85),32.9% (26),0.0% (0),23.3% (47),16.5% (13),0.0% (0),34.7% (70)
