NOI415.6,GPA.219,RC36.25,RC273.25,XR38.65,XR273.47,RCAA-4.60,XR+-2.68,RCWIN-0.53,XRWIN-0.31,BABIP.272
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.54,0.076,10.64,5.76,0.084,71.80,0.203,0.559,5.45,28.0%,
