球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,649,36.6%,147.4,23,141,134,217,45.9%,7.9%,.209,148,31,2,22,16,1
スライダー,249,14.0%,130.8,31,42,40,96,45.4%,27.9%,.319,47,15,1,8,7,0
フォーク,213,12.0%,136.2,40,30,34,86,48.8%,41.2%,.190,42,8,0,20,4,0
カットボール,206,11.6%,137.0,25,45,34,69,50.5%,27.2%,.263,38,10,1,7,2,0
チェンジアップ,116,6.5%,127.7,14,16,11,55,35.3%,31.1%,.292,24,7,0,4,1,1
カーブ,111,6.3%,118.1,7,36,7,50,45.0%,28.0%,.214,14,3,0,3,2,0
ツーシーム,104,5.9%,143.6,10,25,20,30,52.9%,20.4%,.273,22,6,1,3,2,0
スプリット,47,2.6%,138.5,7,5,8,20,42.6%,31.8%,.125,8,1,0,2,0,0
シュート,30,1.7%,143.5,0,5,4,16,30.0%,0.0%,.000,6,0,0,1,1,2
ナックルカーブ,20,1.1%,121.8,2,4,1,11,35.0%,40.0%,.250,4,1,0,2,0,0
シンカー,14,0.8%,132.8,0,2,4,6,42.9%,0.0%,.500,2,1,0,0,0,0
パワーカーブ,11,0.6%,123.1,0,1,0,8,9.1%,0.0%,.000,2,0,0,0,1,0
縦スライダー,2,0.1%,125.0,0,1,0,0,50.0%,0.0%,1.000,1,1,0,0,0,0
パーム,2,0.1%,111.0,0,1,0,1,50.0%,-%,-,0,0,0,0,0,0
ワンシーム,1,0.1%,141.0,0,0,0,0,0.0%,0.0%,.000,1,0,0,0,0,0
