NOI456.9,GPA.246,RC66.92,RC274.53,XR66.81,XR274.52,RCAA12.84,XR+12.45,RCWIN1.51,XRWIN1.47,BABIP.284
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.56,0.047,16.74,9.33,0.131,35.00,0.196,0.640,0.00,19.3%,
