球種,球数,割合,平均球速 (km/h),空振り,見逃し,ファウル,ボール,ストライク 割合,Whiff%,打率,打数,安打,ＨＲ,三振,四球,死球
ストレート,961,45.4%,147.3,75,169,210,341,47.2%,16.6%,.232,198,46,5,34,22,2
スライダー,316,14.9%,131.0,35,62,44,116,44.6%,25.4%,.250,76,19,1,17,2,2
カットボール,203,9.6%,137.7,19,41,32,66,45.3%,19.8%,.220,50,11,1,6,7,0
フォーク,188,8.9%,134.5,31,23,36,56,47.9%,28.4%,.220,50,11,2,9,2,0
チェンジアップ,113,5.3%,128.4,14,16,17,42,41.6%,25.5%,.290,31,9,2,7,3,0
ツーシーム,110,5.2%,142.6,10,20,24,35,49.1%,18.2%,.375,24,9,1,3,2,0
カーブ,93,4.4%,118.4,7,21,14,39,45.2%,21.2%,.133,15,2,0,3,1,0
スプリット,53,2.5%,141.0,4,1,19,17,45.3%,11.4%,.417,12,5,0,0,0,0
シュート,23,1.1%,141.0,0,4,9,8,56.5%,0.0%,.000,3,0,0,1,0,0
縦スライダー,16,0.8%,131.8,1,2,7,2,62.5%,8.3%,.000,5,0,0,1,0,0
パワーカーブ,15,0.7%,124.9,1,2,2,7,33.3%,16.7%,1.000,3,3,1,0,1,0
ナックルカーブ,11,0.5%,126.2,0,2,1,5,27.3%,0.0%,.333,3,1,0,0,0,1
ワンシーム,5,0.2%,140.5,0,1,3,1,80.0%,0.0%,-,0,0,0,0,0,0
シンカー,4,0.2%,131.5,0,0,1,2,25.0%,0.0%,.000,1,0,0,0,1,0
高速スライダー,4,0.2%,138.3,0,0,0,2,0.0%,0.0%,1.000,2,2,0,0,0,0
スクリュー,2,0.1%,133.0,1,1,0,0,100.0%,100.0%,-,0,0,0,0,0,0
スローカーブ,1,0.0%,105.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
パーム,1,0.0%,120.0,0,0,0,1,0.0%,-%,-,0,0,0,0,0,0
