アウト内容,アウト内容.1,アウト内容.2,出塁内容,出塁内容.1,出塁内容.2
結果,総数,割合,結果,総数,割合
ゴロ,104,29.3%,安打,118,69.4%
フライ,170,47.9%,四死球,48,28.2%
空三振,64,18.0%,失策出塁,4,2.4%
見三振,17,4.8%,野選,0,0.0%
犠打,0,0.0%,打・走妨,0,0.0%
守備妨,0,0.0%,,,
