NOI440.9,GPA.236,RC56.38,RC274.13,XR57.12,XR274.18,RCAA4.70,XR+4.83,RCWIN0.54,XRWIN0.56,BABIP.274
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.53,0.067,12.21,6.48,0.125,36.38,0.218,0.619,1.86,26.1%,
