条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.258,37,31,8,1,0,1,5,3,2,0,1
対左打者,0.436,44,39,17,5,0,1,8,3,1,1,0
