HQS率-,SQS率-,被打率.249,被BABIP.300,被出塁率.330,被長打率.331,K/BB1.90,K/96.75,BB/93.55,HR/90.53,GO/AO2.88,援護率-,IPR3.90,NHB%38.7%
FIP,LOB%,RSAA,RSWIN,PR,KD,失点時回数,援護回,援護点,救援時回数,救援時失点,NHB,無失点,
2.81,86.0%,5.39,0.63,4.73,522,4.1,0,0,50.2,13,24,56,
