条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛
対右打者,0.241,120,108,26,8,0,3,36,8,0,3,1
対左打者,0.198,99,86,17,2,0,0,25,6,2,5,0
